2457	8277	0.9
8355	8355	0.9
5318	5313	0.9
5050	3920	0.9
531	201	0.9
464	2823	0.9
2187	8319	0.9
6209	1017	0.9
4327	2645	0.9
5313	5691	0.9
7307	4919	0.9
2046	1456	0.9
8204	7179	0.9
5430	1751	0.9
6489	5259	0.9
3024	97	0.9
2823	464	0.9
2046	4850	0.9
3506	2300	0.9
1017	6209	0.9
5691	5313	0.9
2416	4404	0.9
3586	5554	0.9
6262	3858	0.9
1873	7237	0.9
5313	5318	0.9
2739	2667	0.9
8319	2187	0.9
2645	4327	0.9
8263	7805	0.9
5554	3586	0.9
3473	6209	0.9
4919	7307	0.9
1597	7498	0.89
7723	3980	0.89
3024	5935	0.89
5341	5886	0.89
6076	6079	0.89
1674	1675	0.89
7176	1656	0.89
112	585	0.89
4815	1235	0.89
5022	6208	0.89
3059	4501	0.89
3059	4500	0.89
2321	2300	0.89
3521	7297	0.89
3877	3980	0.89
1923	6396	0.89
3140	4119	0.89
1873	1619	0.89
4500	499	0.89
4500	3059	0.89
4500	3060	0.89
4500	3062	0.89
7849	6415	0.89
5549	5549	0.89
6208	1017	0.89
6276	6278	0.89
4313	6998	0.89
2047	4849	0.89
1100	802	0.89
2667	8591	0.89
8496	7656	0.89
1619	1873	0.89
819	818	0.89
6479	1185	0.89
2639	1185	0.89
6415	7849	0.89
3201	5838	0.89
7498	1597	0.89
4498	7383	0.89
585	112	0.89
3586	2852	0.89
6629	2425	0.89
869	1972	0.89
4498	5027	0.89
8127	5327	0.89
6808	4270	0.89
499	4501	0.89
7297	3521	0.89
7445	585	0.89
4411	4409	0.89
2425	6629	0.89
1972	869	0.89
802	1100	0.89
5698	4498	0.89
6208	5022	0.89
4116	5327	0.89
6278	6276	0.89
5838	3201	0.89
499	4500	0.89
1656	7176	0.89
1856	4983	0.89
2852	3586	0.89
227	1301	0.89
5935	3024	0.89
4849	2047	0.89
1235	4815	0.89
4409	4411	0.89
4270	6808	0.89
464	2824	0.89
5878	1597	0.89
2300	2321	0.89
2986	3203	0.89
3060	4500	0.89
